Iteration,Accuracy,Latency
1,0.738,66.109
2,0.755,66.051
3,0.755,65.407
4,0.761,64.912
5,0.775,63.573
6,0.78,63.108
7,0.786,61.906
8,0.791,60.934
9,0.786,60.448
10,0.784,59.655
11,0.78,58.177
12,0.781,57.756
13,0.786,56.509
14,0.788,55.888
15,0.786,54.51
16,0.792,54.217
17,0.795,52.902
18,0.794,51.826
19,0.795,51.02
20,0.792,50.393
21,0.794,50.246
22,0.798,49.787
23,0.798,48.73
24,0.802,47.742
25,0.802,46.695
26,0.805,46.093
27,0.805,44.91
28,0.805,43.741
29,0.806,42.844
30,0.8,42.088
31,0.8,41.012
32,0.798,40.158
33,0.798,53.929
34,0.8,53.685
35,0.802,51.927
36,0.798,59.183
37,0.798,48.689
38,0.809,56.819
39,0.806,34.469
40,0.806,33.764
41,0.812,32.797
42,0.812,31.832
43,0.814,31.119
44,0.808,30.194
45,0.806,29.283
46,0.806,50.735
47,0.805,49.566
48,0.806,26.836
49,0.809,25.998
50,0.808,25.209
51,0.809,24.392
52,0.809,23.6
53,0.798,22.721
54,0.795,21.957
55,0.795,21.105
56,0.794,20.279
57,0.795,19.486
58,0.8,18.834
59,0.798,17.952
60,0.797,17.084
61,0.798,16.191
62,0.797,15.388
63,0.784,14.592
64,0.781,13.776
65,0.775,13.044
66,0.769,12.229
67,0.762,11.433
68,0.766,10.542
69,0.767,9.708
70,0.766,8.906
71,0.77,8.107
72,0.761,7.256
73,0.759,6.46
74,0.741,5.654
75,0.728,4.819
76,0.728,4.054
77,0.719,3.214
78,0.719,2.399
79,0.692,1.598
